,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
AAPL,0.2470820898263142,0.28850551937328284,0.8564206687034887,-0.3851590880845152
AMZN,0.2806234301278776,0.3293326105233984,0.8520973057660195,-0.5614526325328257
GOOGL,0.2537267419100615,0.2884660250272453,0.8795723582563919,-0.44320054930256264
JNJ,0.09436514587513467,0.18203367841067186,0.5183938856756215,-0.2736626661024482
JPM,0.19291075341727226,0.2715353263110275,0.7104444052937131,-0.43626515349232137
META,0.21607628428232806,0.37537521056025164,0.575627474067432,-0.7673608908236391
MSFT,0.2564464485604312,0.26891588517811654,0.9536307176148177,-0.371484874836375
NVDA,0.7220958167701759,0.48700172048602686,1.4827377119931435,-0.6633509167500541
PG,0.07298790164669744,0.18515794249725073,0.39419265877714743,-0.24504236521207248
XOM,0.06947349284495985,0.27421627077984534,0.2533529197497426,-0.6134248202116174
